cabinet_proportion,seats_proportion,caretaker,sq_cabinet,sq_pm,miw_proportion,banzhaf,shapley,splus,left_rightx,left_righty,prime_minister,party_count,post_election,enpp,mingov,bicameral,lag_largest_parl,lag_largest_cab,B,B_star,C,D,E
0,0.22110553,0,1,1,0.2,0.218894,0.22619048,0.22531207,5.8053333,5.2,0,11,1,4.8971596,0,0,1,1,1,0,0,0,0
0,0.055555556,0,0,0,0.057377048,0.051629074,0.050036076,0.051517952,0.95500001,,0,11,1,6.0889177,1,1,0,0,0,0,0,0,1
0,0.39428571,0,1,1,0.37142858,0.55102038,0.52380955,0.51587081,3.8689841,3.8,0,9,1,4.5558085,1,0,1,0,1,0,0,0,0
0.055555556,0.025396826,0,1,0,0.028688524,0.019548872,0.016702741,0.018602356,2.6337037,,0,11,1,6.0889177,1,1,0,0,0,0,0,0,1
0.19047619,0.093333334,0,1,0,0.093333334,0.091202579,0.091053389,0.091216691,3.3017778,2.9,0,11,1,9.050684,0,1,0,0,0,0,0,0,1
0,0.07333333,0,0,0,0.07333333,0.069948189,0.069480516,0.069402285,9.7272223,9.8,0,11,1,8.0299788,0,1,0,0,0,0,0,0,1
0,0.0050251256,0,1,0,0.021276595,0.0044843052,0.0039682542,0.003726969,5.7166667,5.6,0,10,1,5.2452135,0,0,0,0,0,0,0,1,0
0.16666667,0.041269843,0,1,0,0.045081966,0.044611529,0.044083696,0.039972916,,,0,11,1,6.0889177,1,1,0,0,0,0,0,0,1
0.07692308,0.027027028,0,1,0,0.027027028,0.022791779,0.022981185,0.022177795,6.45,5.9,0,16,1,5.7116132,0,1,0,0,0,0,0,0,1
0.2,0.13333334,0,1,0,0.13333334,0.13471502,0.13535354,0.13341834,3.3017778,2.9,0,11,1,8.0299788,0,1,0,0,0,0,0,0,1
0,0.094339624,1,0,0,0.094339624,0.092112176,0.091144964,0.090996541,6.8551111,7.6,0,13,1,8.4133282,0,1,0,0,0,0,0,0,1
0.18181819,0.083094552,0,0,0,0.13043478,0.11111111,0.10476191,0.10283662,5.7886666,5.9,0,7,1,4.1492419,0,0,0,0,0,0,0,1,0
0,0.033333335,0,0,0,0.06666667,0.029126214,0.026190476,0.020868627,,,0,7,0,3.7735848,0,0,0,0,1,0,0,0,0
0,0.06666667,0,0,0,0.06666667,0.029126214,0.026190476,0.034137301,6.3157895,,0,7,0,3.7735848,0,0,0,0,1,0,0,0,0
0.35294119,0.20100503,0,1,0,0.19148937,0.23766816,0.21825397,0.22597963,7.1597778,7.2,0,10,1,5.2452135,0,0,0,0,0,0,0,1,0
0.045454547,0.027113238,0,0,0,0.031657357,0.027722705,0.024037074,0.024371287,4.915,,0,17,1,5.0764861,0,1,0,0,0,0,0,1,0
0,0.11333334,1,0,0,0.11333334,0.109083,0.10883839,0.10984766,9.7272223,9.8,0,11,1,7.9113922,1,1,0,0,0,0,0,0,1
0,0.29714286,0,1,1,0.24242425,0.24576271,0.26904762,0.2709347,3.8689841,3.8,0,9,1,4.6754708,1,0,1,1,0,0,0,1,0
0,0.078787878,0,1,0,0.090909094,0.07692308,0.06666667,0.071759611,6.1333333,6.1,0,8,1,4.0411162,1,0,0,0,1,0,0,0,0
0,0.17011128,0,0,0,0.17011128,0.13324556,0.15463564,0.1575648,2.6291667,,0,16,1,5.7116132,0,1,0,0,0,0,0,0,1
0,0.0060240962,0,0,0,0,0,0,0.00631175,1.3333334,,0,8,1,3.3368855,0,1,0,0,1,0,0,0,0
0,0.020634921,0,,,0.020766772,0.022839658,0.019148085,0.019164817,6,,0,21,1,7.6707511,0,1,0,0,0,0,0,0,1
0,0.24137931,0,1,0,0.1891892,0.18636364,0.19880952,0.19796914,7.2685714,6.7,0,10,1,4.7334909,1,0,0,0,1,0,0,0,0
0,0.18333334,0,0,0,0.23333333,0.28155339,0.27619049,0.27188185,7.3684211,,0,7,0,3.7735848,0,0,0,0,1,0,0,0,0
0,0.015873017,0,,,0.015974442,0.017514503,0.014574869,0.014620658,,,0,21,1,7.6707511,0,1,0,0,0,0,0,0,1
0,0.36544344,0,0,0,0.2,0.16666667,0.16666667,0.1629487,3.5988889,3.3,0,6,1,3.1724627,0,1,1,0,1,1,0,0,0
0.23076923,0.2028302,0,1,1,0.2028302,0.21624088,0.22103174,0.22014111,5.7286666,5.8,1,11,1,7.1317043,0,1,1,1,0,0,0,0,1
0.20833333,0.16,0,1,0,0.15555556,0.15752213,0.15793651,0.15843391,6.8216666,7.6,0,10,1,7.0268583,0,1,0,0,0,0,0,0,1
0,0.095477387,0,0,0,0.08510638,0.049327355,0.04920635,0.047721021,2.3719444,,0,10,1,5.2452135,0,0,0,0,0,0,0,1,0
0,0.014150944,0,0,0,0.014150944,0.012773723,0.011507937,0.012807283,6.1259259,5.6,0,11,1,7.1317043,0,1,0,0,0,0,0,0,1
0,0.092896178,1,0,0,0.2,0.16666667,0.16666667,0.16148385,2.4916667,,0,4,1,2.8832545,0,1,0,0,1,1,0,0,0
0,0.0060606059,0,0,0,0,0,0,0.005261498,,,0,8,1,5.3518772,1,0,0,0,0,0,0,0,1
0,0.0047619049,0,0,0,0.0047923322,0.005230614,0.0042956611,0.004303379,5.4000001,,0,21,1,7.6707511,0,1,0,0,0,0,0,0,1
0,0.047169812,1,0,0,0.047169812,0.045478415,0.044139195,0.044037446,2.9113333,4.5,0,13,1,8.4133282,0,1,0,0,0,0,0,0,1
0.2173913,0.092555329,0,1,0,0.2,0.16666667,0.16666667,0.16671667,5.8064444,5.1,0,5,1,3.4715192,0,1,0,0,1,1,0,0,0
0,0.020100502,0,0,0,0.030303031,0.014218009,0.015873017,0.013287322,,,0,10,1,4.9480457,0,0,0,0,0,0,0,1,0
0,0.080402009,0,0,0,0.060606062,0.023696681,0.027777778,0.03237934,2.1275,1.8,0,10,1,4.9480457,0,0,0,0,0,0,0,1,0
0.40000001,0.25757575,0,1,1,0.25,0.28636363,0.28690475,0.29495123,3.4931111,3,1,10,1,5.1506567,0,0,1,1,0,0,0,0,1
0,0.086666666,1,1,1,0.086666666,0.084068939,0.08340548,0.08329726,6.9802778,7.8,0,12,1,8.4206591,1,1,0,0,0,0,0,0,1
0.36363637,0.2857143,0,0,0,0.2857143,0.33333334,0.33333334,0.33167803,6.9444444,,1,7,1,5.3418574,0,0,1,1,0,0,0,0,1
0,0.1,0,0,0,0.1,0.10511363,0.1031746,0.10134646,1.2425,0.6,0,10,1,6.7446041,1,1,0,0,0,0,0,0,1
0,0.079999998,0,0,0,0.078431375,0.044705883,0.038492061,0.045368996,4.4204445,4.4,0,9,1,3.7525017,0,1,0,0,1,0,0,0,0
0.80000001,0.47337279,0,1,1,0.41176471,0.67441863,0.61904764,0.61117673,5.9926667,6.3,1,7,1,3.0063276,0,1,1,1,1,0,0,0,0
0.5714286,0.32666665,0,0,0,0.21568628,0.25647059,0.25634921,0.26714027,3.5371111,2.6,0,9,1,3.7525017,0,1,0,0,1,0,0,0,0
0.40000001,0.25628141,0,1,1,0.2631579,0.30769232,0.30952382,0.30089432,5.8053333,5.2,1,9,1,5.1308365,0,0,1,1,0,0,0,1,0
0,0.071038254,0,0,0,0,0,0,0.012728727,2.4916667,,0,5,1,3.7280419,0,1,0,0,0,0,1,0,0
0,0.046666667,0,1,0,0.045454547,0.044491526,0.044841271,0.044272318,4.4204445,4.4,0,10,0,5.7929969,0,1,0,0,0,0,0,0,1
0,0.28,0,0,0,0.25,0.29577464,0.30158731,0.29809344,3.5371111,2.6,0,9,1,4.7448335,0,1,0,0,0,0,0,1,0
0,0.1147541,0,0,0,0.14285715,0.14285715,0.13333334,0.14057094,8.2955556,6.8,0,5,1,3.3789728,0,1,0,0,0,0,0,1,0
0,0.041467305,0,1,0,0.048417132,0.043449041,0.03921634,0.038695324,7.6605556,,0,17,1,5.0764861,0,1,0,0,0,0,0,1,0
0.5,0.16571428,0,0,0,0.14285715,0.10204081,0.12380952,0.13069074,7.2685714,6.7,0,9,1,4.5558085,1,0,0,0,1,0,0,0,0
0,0.012121212,0,0,0,0.068965517,0.036585364,0.035714287,0.026170438,2.4211111,,0,9,1,2.9926152,1,1,0,0,1,0,0,0,0
0,0.1,0,0,0,0.1,0.10250202,0.10256132,0.099376552,9.7272223,9.8,0,11,1,9.050684,0,1,0,0,0,0,0,0,1
0,0.35519126,0,1,1,0.33333334,0.33333334,0.33333334,0.33333334,3.6593333,3,0,4,1,3.4071624,0,1,1,1,0,0,1,0,0
0,0.070351757,0,0,0,0.06666667,0.037037037,0.03809524,0.043216035,3.7008333,,0,9,1,4.9297509,0,0,0,0,0,0,0,1,0
0.47058824,0.27638191,0,1,1,0.26666668,0.2962963,0.30476192,0.3119725,5.8053333,5.2,1,9,1,4.9297509,0,0,0,0,0,0,0,1,0
0,0.21666667,0,1,0,0.22222222,0.23076923,0.23333333,0.239986,3.9473684,,0,6,0,4.3373494,0,0,0,0,1,0,0,0,0
0,0.02,0,0,0,0.027777778,0.016018307,0.01626984,0.013834847,8.2962964,9.2,0,9,1,4.8138638,0,1,0,0,0,0,0,1,0
0,0.047169812,1,0,0,0.047169812,0.045478415,0.044139195,0.044098627,6.4292222,6.8,0,13,1,8.4133282,0,1,0,0,0,0,0,0,1
0.72000003,0.40000001,0,1,1,0.40000001,0.5,0.5,0.49954504,6.7105263,,1,5,1,3.8054969,0,0,1,1,1,0,0,0,0
0.41666666,0.11333334,1,0,0,0.11333334,0.11139134,0.11121934,0.11112779,5.7719444,5.8,0,12,1,8.4206591,1,1,0,0,0,0,0,0,1
0.31578946,0.10285714,0,1,0,0.10526316,0.10344828,0.095238097,0.097669281,7.1683492,7.3,0,8,1,5.1061354,1,0,0,0,0,0,0,1,0
0.23809524,0.13207547,1,1,0,0.13207547,0.13097364,0.13212621,0.13284981,3.3017778,2.9,0,13,1,8.4133282,0,1,0,0,0,0,0,0,1
0.06666667,0.11055277,0,0,0,0.10588235,0.076036863,0.06349206,0.069130033,2.3719444,,0,11,1,4.8971596,0,0,0,0,1,0,0,0,0
0,0.13714285,0,0,0,0.14285715,0.14035088,0.13333334,0.12325589,2.1851429,1.9,0,9,1,5.544385,1,0,0,0,0,0,0,1,0
0,0.0015873016,0,0,0,0.0040983604,0.000501253,0.00043290001,0.001251235,,,0,11,1,6.0889177,1,1,0,0,0,0,0,0,1
0,0.0050251256,0,0,0,0.011764706,0.002304147,0.001587302,0.003051758,6.3916667,5.8,0,11,1,4.8971596,0,0,0,0,1,0,0,0,0
0,0.071633235,0,0,0,0.090909094,0.07692308,0.076190479,0.070147984,8.9944444,,0,7,1,4.1926613,1,0,0,0,0,0,0,1,0
0,0.15000001,0,0,0,0.15000001,0.10869565,0.11666667,0.12548412,7.3684211,,0,6,1,3.6290324,0,0,0,0,1,0,0,0,0
0.13333334,0.060301509,0,1,0,0.060606062,0.023696681,0.027777778,0.031992238,6.3257778,6.1,0,10,1,4.9480457,0,0,0,0,0,0,0,1,0
0,0.24242425,0,0,0,0.25,0.28636363,0.28690475,0.27781007,5.8053333,5.2,0,10,1,5.1506567,0,0,0,0,0,0,0,0,1
0.31578946,0.06666667,0,0,0,0.090909094,0.07692308,0.06666667,0.062740155,5.3055556,5.8,0,7,1,4.2347178,1,0,0,0,1,0,0,0,0
0.13333334,0.055555556,0,1,0,0.06818182,0.040909089,0.04404762,0.040530469,6.3257778,6.1,0,10,1,5.1506567,0,0,0,0,0,0,0,0,1
1,0.41260746,0,1,1,0.40000001,0.60869563,0.5714286,0.5802415,3.3653333,2.9,1,7,1,4.2252402,1,0,1,1,1,0,0,0,0
0,0.053333335,0,0,0,0.088888891,0.093805313,0.093650796,0.083382815,5.5811111,6.3,0,10,1,7.0268583,0,1,0,0,0,0,0,0,1
0.096774191,0.027027028,0,1,0,0.040963855,0.027858226,0.02034077,0.021645525,4.6205556,5.4,0,14,1,4.0743632,0,1,0,0,1,0,0,0,0
0.11111111,0.060869563,0,0,0,0.2,0.18000001,0.18333334,0.1910609,7.935,,0,6,1,2.5742092,0,0,0,0,1,0,0,0,0
0,0.02,0,0,0,0.039215688,0.025882352,0.019444443,0.019914875,8.4472222,9.2,0,9,1,3.7525017,0,1,0,0,1,0,0,0,0
0,0.095477387,0,0,0,0.06666667,0.037037037,0.03809524,0.04331531,2.3719444,,0,9,1,4.9297509,0,0,0,0,0,0,0,1,0
0.5,0.31746033,0,1,1,0.33333334,0.38461539,0.40000001,0.38743293,4.2982458,,1,5,1,4.1822972,0,0,0,1,1,0,0,0,0
0.40000001,0.30000001,0,1,1,0.28703704,0.33638445,0.34722221,0.3495158,3.5371111,2.6,1,9,1,4.8138638,0,1,1,1,0,0,0,1,0
0,0.052380953,0,,,0.052715655,0.062594108,0.05377854,0.053584881,4.6266667,,0,21,1,7.6707511,0,1,0,0,0,0,0,0,1
0,0.033333335,0,0,0,0.033333335,0.03195164,0.03138528,0.030927639,6.4292222,6.8,0,11,1,8.0299788,0,1,0,0,0,0,0,0,1
0,0.0079365084,0,,,0.0079872208,0.0087533966,0.0072099431,0.007228428,,,0,21,1,7.6707511,0,1,0,0,0,0,0,0,1
0.045454547,0.065390751,0,0,0,0.076350093,0.070062838,0.061607838,0.061063111,0.95500001,,0,17,1,5.0764861,0,1,0,0,0,0,0,1,0
0.20833333,0.16666667,0,1,0,0.16666667,0.16637169,0.16666667,0.16918014,3.1588889,2.5,0,10,1,7.0268583,0,1,0,0,0,0,0,0,1
0.07692308,0.025437202,0,1,0,0.025437202,0.021287145,0.020669607,0.020719171,4.6205556,5.4,0,16,1,5.7116132,0,1,0,0,0,0,0,0,1
0,0.046178345,0,1,0,0.06818182,0.047169812,0.040476192,0.041780464,4.915,,0,9,1,3.0750279,0,1,0,0,1,0,0,0,0
0,0.23999999,0,0,0,0.1780822,0.13215859,0.16746032,0.16872638,7.2685714,6.7,0,11,1,4.9195457,1,0,0,0,0,0,0,1,0
0,0.090361446,0,0,0,0.14285715,0.090909094,0.1,0.096681759,,,0,7,1,3.4557312,0,1,0,0,1,0,0,0,0
0,0.23495702,0,0,0,0.2,0.16363636,0.18571429,0.17093934,7.7642222,7.7,0,7,1,4.293757,1,0,0,0,0,0,0,1,0
0,0.0066666668,0,0,0,0.010204081,0.0090361452,0.0081168832,0.0095281126,,,0,12,1,5.4164662,0,1,0,0,0,0,0,0,1
0,0.15517241,0,1,1,0.1891892,0.18636364,0.19880952,0.18676358,7.1683492,7.3,0,10,1,4.7334909,1,0,0,0,1,0,0,0,0
0,0.053333335,0,0,0,0.053333335,0.049233254,0.048196249,0.049698029,6.4292222,6.8,0,11,1,9.050684,0,1,0,0,0,0,0,0,1
0,0.11666667,0,0,0,0.11111111,0.07692308,0.06666667,0.060602274,6.3157895,,0,6,0,4.3373494,0,0,0,0,1,0,0,0,0
0,0.14666666,0,1,1,0.14666666,0.14689265,0.14859307,0.1524028,5.7286666,5.8,0,11,1,9.050684,0,1,1,1,0,0,0,0,1
0,0.0015873016,0,0,0,0.0040983604,0.000501253,0.00043290001,0.001217826,,,0,11,1,6.0889177,1,1,0,0,0,0,0,0,1
0,0.0015873016,0,0,0,0.0015974441,0.001754088,0.00142496,0.001639834,,,0,21,1,7.6707511,0,1,0,0,0,0,0,0,1
0,0.12264151,1,0,0,0.12264151,0.12047054,0.12209735,0.12183819,6.9802778,7.8,0,13,1,8.4133282,0,1,0,0,0,0,0,0,1
0,0.078787878,0,0,0,0.090909094,0.07692308,0.06666667,0.071833409,1.4611111,1.2,0,8,1,4.0411162,1,0,0,0,1,0,0,0,0
0,0.022857143,0,0,0,0.02739726,0.022026433,0.019841271,0.021422382,5.8095237,6.2,0,11,1,4.9195457,1,0,0,0,0,0,0,1,0
0.4375,0.35519126,0,1,1,0.33333334,0.33333334,0.33333334,0.34606206,3.6593333,3,1,5,1,3.7280419,0,1,1,1,0,0,1,0,0
0.4375,0.20121951,0,1,0,0.2,0.21904762,0.22380953,0.22112836,3.6788889,3.6,0,7,0,3.4969542,0,1,0,0,1,0,0,0,0
0,0.042979944,0,1,0,0.090909094,0.027027028,0.047619049,0.034031358,7.0141667,,0,7,1,3.5041573,1,0,0,0,1,1,0,0,0
0.5714286,0.29228243,0,0,0,0.28700906,0.34105605,0.35353535,0.35235035,6.9677778,,1,12,1,5.3029213,0,1,0,0,0,0,0,1,0
0,0.014778325,0,0,0,0.01510574,0.010237069,0.0083694076,0.010364231,0.86,,0,12,1,5.3029213,0,1,0,0,0,0,0,1,0
0.14285715,0.049261082,0,0,0,0.054380666,0.049030174,0.045670997,0.043351721,7.6605556,,0,12,1,5.3029213,0,1,0,0,0,0,0,1,0
0,0.13136289,0,0,0,0.12688822,0.11045258,0.1011544,0.1025178,4.0844445,,0,12,1,5.3029213,0,1,0,0,0,0,0,1,0
0,0.22660099,0,1,0,0.21450152,0.2106681,0.23694083,0.23678635,2.6291667,,0,12,1,5.3029213,0,1,1,1,0,0,0,1,0
0,0.0060975607,0,0,0,0,0,0,0.0099991187,,,0,8,1,2.9687567,1,1,0,0,1,0,0,0,0
0,0.079999998,1,0,0,0.079999998,0.074821353,0.073809527,0.076328367,9.7272223,9.8,0,12,1,8.4206591,1,1,0,0,0,0,0,0,1
0.095238097,0.065681443,0,0,0,0.072507553,0.065193966,0.059090909,0.059390608,5.9066667,,0,12,1,5.3029213,0,1,0,0,0,0,0,1,0
0,0.15759312,0,0,0,0.13333334,0.086956523,0.10476191,0.10133106,7.7642222,7.7,0,7,1,4.2252402,1,0,0,0,1,0,0,0,0
0.75,0.48776758,0,1,1,0.40000001,0.5,0.5,0.50929743,6.1757778,6.7,1,6,1,3.1724627,0,1,0,1,1,1,0,0,0
0,0.17301588,0,0,0,0.17252396,0.16073456,0.17451061,0.17433678,2.6291667,,0,21,1,7.6707511,0,1,0,0,0,0,0,0,1
0,0.084507041,0,0,0,0.2,0.16666667,0.16666667,0.16661668,2.8744444,2.8,0,5,1,3.4715192,0,1,0,0,1,1,0,0,0
0.33333334,0.15333334,0,0,0,0.14444445,0.14159292,0.1420635,0.14758381,3.3511111,,0,10,1,7.0268583,0,1,0,0,0,0,0,0,1
0,0.0015898251,0,0,0,0.0024096386,0.001654944,0.001126651,0.001202833,,,0,14,1,4.0743632,0,1,0,0,1,0,0,0,0
0,0.013043478,0,0,0,0.050000001,0.02,0.016666668,0.024495885,1.95,,0,6,1,2.5742092,0,0,0,0,1,0,0,0,0
0.25,0.065902576,0,1,0,0.078431375,0.072580643,0.06428571,0.079111494,5.7886666,5.9,0,8,1,4.5371952,1,0,0,0,0,0,0,1,0
0,0.16666667,0,0,0,0.15671642,0.15599173,0.15000001,0.14952247,1.2425,0.6,0,10,1,5.5391431,0,1,0,0,0,0,0,0,1
0.16666667,0.069940478,0,1,0,0.2,0.16666667,0.16666667,0.15454622,5.8064444,5.1,0,6,1,3.4458909,0,1,0,0,1,0,0,0,0
0,0.042682927,0,0,0,0.14285715,0.090909094,0.1,0.0853623,1.8,1.8,0,8,1,2.9687567,1,1,0,0,1,0,0,0,0
0,0.051428571,0,1,0,0.057142857,0.040816326,0.03809524,0.040395722,5.6089948,5.7,0,9,1,4.5558085,1,0,0,0,1,0,0,0,0
0.31578946,0.22110553,0,1,0,0.20689656,0.21538462,0.21904762,0.22074221,7.1597778,7.2,1,9,1,5.830904,0,0,0,0,0,0,0,0,1
0,0.076502733,0,0,0,0,0,0,0,2.4916667,,0,4,1,3.4071624,0,1,0,0,0,0,1,0,0
0,0.091463417,0,0,0,0.14285715,0.090909094,0.1,0.097138979,3.6788889,3.6,0,8,1,2.9687567,1,1,0,0,1,0,0,0,0
0,0.12,0,0,0,0.088888891,0.093805313,0.093650796,0.094047219,9.7272223,9.8,0,10,1,7.0268583,0,1,0,0,0,0,0,0,1
0.42105263,0.22424242,0,0,0,0.18181819,0.15384616,0.16666667,0.16358674,7.7388889,7.7,1,7,1,4.2347178,1,0,0,0,1,0,0,0,0
0.47058824,0.36807817,0,0,0,0.2857143,0.2857143,0.30000001,0.30002999,6.1757778,6.7,1,6,1,4.0520649,0,1,0,0,0,0,0,1,0
0,0.036144577,0,0,0,0.090909094,0.027027028,0.047619049,0.035289329,2.4211111,,0,8,1,3.3368855,0,1,0,0,1,0,0,0,0
0,0.033333335,1,0,0,0.033333335,0.032594524,0.031854257,0.030975116,,,0,11,1,7.9113922,1,1,0,0,0,0,0,0,1
0,0.059999999,0,0,0,0.05882353,0.028169014,0.031349204,0.031248702,1.2425,0.6,0,9,1,4.7448335,0,1,0,0,0,0,0,1,0
0,0.013333334,0,0,0,0.015151516,0.01059322,0.01031746,0.011800645,,,0,10,0,5.7929969,0,1,0,0,0,0,0,0,1
0,0.013333334,0,0,0,0.014705882,0.0046948362,0.0039682542,0.0077372422,8.4472222,9.2,0,9,1,4.7448335,0,1,0,0,0,0,0,1,0
0.20833333,0.17301588,0,,,0.17252396,0.16073456,0.17451061,0.17431393,7.9855557,,0,21,1,7.6707511,0,1,0,0,0,0,0,0,1
0.15000001,0.045977011,0,0,0,0.067567565,0.050000001,0.039285716,0.035732735,4.9697778,4.8,0,10,1,4.7334909,1,0,0,0,1,0,0,0,0
0,0.039999999,0,0,0,0.06122449,0.057228915,0.058261182,0.056446418,,,0,12,1,5.4164662,0,1,0,0,0,0,0,0,1
0,0.077363893,0,1,0,0.090909094,0.027027028,0.047619049,0.05655244,5.7886666,5.9,0,7,1,3.5041573,1,0,0,0,1,1,0,0,0
0,0.05050505,0,0,0,0.06818182,0.040909089,0.04404762,0.03979221,7.2257778,6.8,0,10,1,5.1506567,0,0,0,0,0,0,0,0,1
0.050000001,0.39541548,0,1,1,0.36363637,0.5,0.47619048,0.48500484,3.3653333,2.9,0,7,1,4.1926613,1,0,1,1,0,0,0,1,0
0,0.18000001,1,0,0,0.18000001,0.19125684,0.19448052,0.1930739,6.4292222,6.8,0,12,1,8.4206591,1,1,0,0,0,0,0,0,1
0.23809524,0.15333334,0,0,0,0.15333334,0.15819208,0.16010101,0.16089059,6.9802778,7.8,1,11,1,9.050684,0,1,0,0,0,0,0,0,1
0.125,0.039999999,0,0,0,0.044776119,0.03822314,0.036507938,0.038035203,6.315,,0,10,1,5.5391431,0,1,0,0,0,0,0,0,1
0,0.0015898251,0,0,0,0.0015898251,0.001453339,0.001846764,0.0013377829,,,0,16,1,5.7116132,0,1,0,0,0,0,0,0,1
0.375,0.18666667,0,1,0,0.20588236,0.27230048,0.24801587,0.24949521,7.2037778,7.4,0,9,1,4.7448335,0,1,0,0,0,0,0,1,0
0,0.093650796,0,0,0,0.090163931,0.084711783,0.084559888,0.085125744,7.6605556,,0,11,1,6.0889177,1,1,1,0,0,0,0,0,1
0.6111111,0.27142859,0,1,1,0.26639345,0.30827066,0.31194085,0.31248969,2.6291667,,0,11,1,6.0889177,1,1,0,0,0,0,0,0,1
0.13333334,0.035502959,0,1,0,0.11764706,0.069767445,0.085714288,0.071882337,2.4211111,,0,7,1,3.0063276,0,1,0,0,1,0,0,0,0
0,0.02,0,0,0,0.030612245,0.028614458,0.027741702,0.026683176,8.2962964,9.2,0,12,1,5.4164662,0,1,0,0,0,0,0,0,1
0.14285715,0.12,0,0,0,0.12,0.11702986,0.1176407,0.11948248,6.5622222,,0,11,1,9.050684,0,1,0,0,0,0,0,0,1
0.052631579,0.030150754,0,0,0,0.034482758,0.030769231,0.028571429,0.035570253,7.2257778,6.8,0,9,1,5.830904,0,0,0,0,0,0,0,0,1
0,0.047619049,0,0,0,0.07692308,0.041666668,0.033333331,0.035556443,2.2222222,,0,6,1,3.9492538,0,0,0,0,1,0,0,0,0
0.33333334,0.09142857,0,0,0,0.12121212,0.11016949,0.10238095,0.09256658,7.1683492,7.3,0,9,1,4.6754708,1,0,0,0,0,0,0,1,0
0,0.047619049,0,0,0,0.045081966,0.044611529,0.044083696,0.045407575,5.9066667,,0,11,1,6.0889177,1,1,0,0,0,0,0,0,1
0,0.0031796503,0,0,0,0.0048192772,0.0033098881,0.002267177,0.0023867551,4.1999998,,0,14,1,4.0743632,0,1,0,0,1,0,0,0,0
0.66666669,0.45783132,0,0,0,0.42857143,0.63636363,0.60000002,0.60649413,6.4893333,6.8,1,7,1,3.4557312,0,1,0,0,1,0,0,0,0
0,0.2,1,1,1,0.2,0.21773142,0.21915585,0.21912713,,,0,11,1,7.9113922,1,1,0,0,0,0,0,0,1
0,0.034482758,0,0,0,0.040540539,0.031818181,0.025,0.026854577,1,,0,10,1,4.7334909,1,0,0,0,1,0,0,0,0
0,0.15151516,0,0,0,0.14285715,0.11458334,0.12619047,0.12473264,9.2444444,9.4,0,8,1,4.3608842,1,0,0,0,1,0,0,0,0
0,0.2,0,0,0,0.2,0.21117423,0.21468253,0.21075444,3.5371111,2.6,0,10,1,6.7446041,1,1,0,0,0,0,0,0,1
0,0.025125628,0,0,0,0.052631579,0.019230768,0.023809524,0.019843612,6.3916667,5.8,0,9,1,5.1308365,0,0,0,0,0,0,0,1,0
0.375,0.22,0,0,0,0.21641791,0.20971075,0.22261904,0.22517884,3.5371111,2.6,0,10,1,5.5391431,0,1,0,0,0,0,0,0,1
0,0.0016420361,0,0,0,0.003021148,0.00053879299,0.00036075001,0.001217162,,,0,12,1,5.3029213,0,1,0,0,0,0,0,1,0
0.44999999,0.22922637,0,0,0,0.18181819,0.11538462,0.14285715,0.14062093,7.7642222,7.7,1,7,1,4.1926613,1,0,0,0,0,0,0,1,0
0,0.0063795852,0,0,0,0.0074487897,0.0068214661,0.0053724051,0.0055159349,,,0,17,1,5.0764861,0,1,0,0,0,0,0,1,0
0,0.09142857,0,0,0,0.10958904,0.10132159,0.096031748,0.098823175,7.1683492,7.3,0,11,1,4.9195457,1,0,0,0,0,0,0,1,0
0,0.060171921,0,0,0,0.11111111,0.050000001,0.06666667,0.061455522,1.5791111,1.2,0,6,1,3.665062,1,0,0,0,1,1,0,0,0
0,0.0066666668,0,0,0,0.011111111,0.0088495584,0.0083333328,0.0097195441,9.8888893,,0,10,1,7.0268583,0,1,0,0,0,0,0,0,1
0,0.086666666,1,1,0,0.086666666,0.084068939,0.08340548,0.083240464,3.3017778,2.9,0,12,1,8.4206591,1,1,0,0,0,0,0,0,1
0,0.022857143,0,0,0,0.02739726,0.022026433,0.019841271,0.021362269,9.0063492,8.7,0,11,1,4.9195457,1,0,0,0,0,0,0,1,0
0,0.065088756,0,1,1,0.06666667,0.054545455,0.052380953,0.053660825,6.1333333,6.1,0,7,1,4.5617313,0,0,0,0,0,0,0,1,0
0,0.084337346,0,0,0,0.14285715,0.090909094,0.1,0.096451782,2.031579,,0,7,1,3.4557312,0,1,0,0,1,0,0,0,0
0,0.12650603,0,0,0,0.090909094,0.027027028,0.047619049,0.039371062,3.6788889,3.6,0,8,1,3.3368855,0,1,0,0,1,0,0,0,0
0,0.020100502,0,0,0,0.030303031,0.014218009,0.015873017,0.013332199,3.7008333,,0,10,1,4.9480457,0,0,0,0,0,0,0,1,0
0,0.0047694752,0,0,0,0.0047694752,0.005043942,0.0066142189,0.0040410571,5.4000001,,0,16,1,5.7116132,0,1,0,0,0,0,0,0,1
0,0.018062398,0,0,0,0.021148037,0.014547414,0.012337662,0.012768251,0.95500001,,0,12,1,5.3029213,0,1,0,0,0,0,0,1,0
0.40000001,0.31658292,0,0,0,0.30588236,0.37096775,0.3968254,0.39421213,3.4931111,3,1,11,1,4.8971596,0,0,0,0,1,0,0,0,0
0.2,0.039999999,0,1,0,0.04109589,0.035242289,0.031746034,0.039003324,4.9697778,4.8,0,11,1,4.9195457,1,0,0,0,0,0,0,1,0
0,0.14,0,0,0,0.12222222,0.1238938,0.12420635,0.12524307,5.7719444,5.8,0,10,1,7.0268583,0,1,0,0,0,0,0,0,1
0,0.026666667,0,1,0,0.044444446,0.038938053,0.038492061,0.034309663,2.9113333,4.5,0,10,1,7.0268583,0,1,0,0,0,0,0,0,1
