cabinet_proportion,seats_proportion,caretaker,sq_cabinet,sq_pm,miw_proportion,banzhaf,shapley,splus,left_rightx,left_righty,prime_minister,party_count,post_election,enpp,mingov,bicameral,lag_largest_parl,lag_largest_cab,B,B_star,C,D,E
0.11764706,0.036585364,0,0,0,0.14285715,0.090909094,0.1,0.074579328,7.9902778,,0,8,1,2.9687567,1,1,0,0,1,0,0,0,0
0,0.38260868,0,1,1,0.2,0.16666667,0.16666667,0.12485585,6.1769444,,0,5,1,2.5572851,1,0,1,1,1,0,0,0,0
0.5,0.41269842,0,1,1,0.40000001,0.5,0.5,0.4577409,6.9444444,,1,5,1,3.454308,0,0,1,1,1,0,0,0,0
0,0.16969697,0,1,1,0.18181819,0.15384616,0.16666667,0.14703733,7.7388889,7.7,0,8,1,4.0411162,1,0,0,0,1,0,0,0,0
0,0.038251366,0,0,0,0.14285715,0.14285715,0.13333334,0.1039996,8.83,,0,5,1,3.3789728,0,1,0,0,0,0,0,1,0
0,0.19393939,0,1,0,0.18181819,0.15384616,0.16666667,0.14703733,5.3055556,5.8,0,8,1,4.0411162,1,0,0,0,1,0,0,0,0
0.2631579,0.088757396,0,0,0,0.13333334,0.12727273,0.11904762,0.089648895,1.4611111,1.2,0,7,1,4.5617313,0,0,0,0,0,0,0,1,0
1,0.44699141,0,1,1,0.44444445,0.75,0.66666669,0.62571412,3.3653333,2.9,1,6,1,3.665062,1,0,1,1,1,1,0,0,0
1,0.5,0,1,1,0.5,0.8611111,0.83333331,0.7914592,4.0527778,,1,6,1,2.6131198,1,0,1,1,1,1,0,0,0
0,0.18032786,0,0,0,0.33333334,0.33333334,0.33333334,0.28412992,8.2955556,6.8,0,4,1,2.9930289,0,1,0,0,0,0,1,0,0
0,0.14285715,0,0,0,0.2,0.16666667,0.16666667,0.13886945,2.2222222,,0,5,1,3.7764034,0,0,0,0,1,0,0,0,0
0.125,0.024242423,0,0,0,0.10344828,0.04878049,0.071428575,0.052322704,7.9902778,,0,9,1,2.9926152,1,1,0,0,1,0,0,0,0
0,0.060606062,0,0,0,0.090909094,0.07692308,0.06666667,0.050821941,9.2444444,9.4,0,8,1,4.0411162,1,0,0,0,1,0,0,0,0
0,0.015873017,0,0,0,0.047619049,0.033333331,0.033333331,0.016302895,,,0,7,1,5.3418574,0,0,0,0,0,0,0,0,1
0,0.059171598,0,0,0,0.090909094,0.07692308,0.06666667,0.051007278,6.1333333,6.1,0,7,1,4.0667806,0,0,0,0,1,0,0,0,0
0,0.1221865,0,0,0,0.2,0.16666667,0.16666667,0.13022031,1.1830556,,0,6,0,4.8344789,0,1,0,0,1,0,0,0,0
0.5714286,0.28415301,0,1,0,0.33333334,0.33333334,0.33333334,0.30255806,6.3666666,5.8,0,5,1,3.4858956,0,1,0,0,0,0,1,0,0
0.83333331,0.4375,0,1,1,0.40000001,0.5,0.5,0.47379762,6.1757778,6.7,1,6,1,3.4458909,0,1,1,1,1,0,0,0,0
0.54545456,0.3968254,0,1,1,0.38461539,0.54166669,0.53333336,0.4943839,6.9444444,,1,6,1,3.9492538,0,0,1,1,1,0,0,0,0
0.63157892,0.31666666,0,1,1,0.33333334,0.38461539,0.40000001,0.37912375,6.7105263,,1,6,0,4.3373494,0,0,1,1,1,0,0,0,0
0,0.05652174,0,0,0,0.2,0.16666667,0.16666667,0.12469753,2.9222222,,0,5,1,2.5572851,1,0,0,0,1,0,0,0,0
0,0.024390243,0,1,0,0.06666667,0.06666667,0.057142857,0.033758767,1.8888889,,0,7,0,3.4969542,0,1,0,0,1,0,0,0,0
0,0.025993884,0,0,0,0.2,0.16666667,0.16666667,0.1325684,1.1830556,,0,6,1,3.1724627,0,1,0,0,1,1,0,0,0
0,0.20634921,0,1,0,0.2,0.16666667,0.16666667,0.14177749,3.8888889,,0,5,1,3.7764034,0,0,0,1,1,0,0,0,0
0,0.11111111,0,1,0,0.15384616,0.125,0.13333334,0.11742493,4.4444444,,0,6,1,3.9492538,0,0,0,0,1,0,0,0,0
0,0.41127694,0,0,0,0.33333334,0.33333334,0.33333334,0.30080825,6.1757778,6.7,0,6,1,3.376034,0,1,0,0,0,0,1,0,0
0.06666667,0.1010101,0,1,0,0.06818182,0.040909089,0.04404762,0.041092318,2.3719444,,0,10,1,5.1506567,0,0,0,0,0,0,0,0,1
0,0.013333334,0,0,0,0.014925373,0.015495868,0.016666668,0.013557454,,,0,10,1,5.5391431,0,1,0,0,0,0,0,0,1
0.083333336,0.046031747,0,,,0.046325877,0.054465175,0.046298984,0.046309721,5.9066667,,0,21,1,7.6707511,0,1,0,0,0,0,0,0,1
0,0.022857143,0,1,0,0.028571429,0.020408163,0.01904762,0.01660691,5.8095237,6.2,0,9,1,4.5558085,1,0,0,0,1,0,0,0,0
0,0.22666667,0,1,1,0.21428572,0.22690763,0.22882396,0.22957449,5.8017777,5.7,0,12,1,5.4164662,0,1,1,1,0,0,0,0,1
0.06666667,0.055555556,0,1,0,0.06818182,0.040909089,0.04404762,0.040465001,3.7008333,,0,10,1,5.1506567,0,0,0,0,0,0,0,0,1
0,0.010050251,0,0,0,0.011764706,0.002304147,0.001587302,0.0057161348,,,0,11,1,4.8971596,0,0,0,0,1,0,0,0,0
0,0.1952381,0,0,0,0.19262294,0.18897243,0.19646464,0.19588752,6.9677778,,0,11,1,6.0889177,1,1,0,0,0,0,0,0,1
0.11764706,0.055276383,0,1,0,0.063829787,0.040358745,0.037301589,0.037486807,6.3257778,6.1,0,10,1,5.2452135,0,0,0,0,0,0,0,1,0
0.25,0.12079511,0,1,0,0.2,0.16666667,0.16666667,0.1629487,5.8064444,5.1,0,6,1,3.1724627,0,1,0,0,1,1,0,0,0
0,0.013333334,0,0,0,0.020408163,0.019076305,0.018506493,0.017627984,1.2425,0.6,0,12,1,5.4164662,0,1,0,0,0,0,0,0,1
0.2,0.079999998,0,1,0,0.079999998,0.074265979,0.07344877,0.074756429,5.5811111,6.3,0,11,1,8.0299788,0,1,0,0,0,0,0,0,1
0,0.012718601,0,0,0,0.019277109,0.012825817,0.0089882342,0.0096665993,0.5,0.5,0,14,1,4.0743632,0,1,0,0,1,0,0,0,0
0,0.025437202,0,0,0,0.025437202,0.021287145,0.020669607,0.020748707,2.6337037,,0,16,1,5.7116132,0,1,0,0,0,0,0,0,1
0,0.035175879,0,0,0,0.04255319,0.031390134,0.03015873,0.025455391,6.3916667,5.8,0,10,1,5.2452135,0,0,0,0,0,0,0,1,0
0.31578946,0.13333334,0,0,0,0.14285715,0.15254237,0.15238096,0.140183,6.1333333,6.1,1,8,1,5.3518772,1,0,0,0,0,0,0,0,1
0,0.37249285,0,1,1,0.34782609,0.44444445,0.43809524,0.42965895,3.3653333,2.9,0,7,1,4.1492419,0,0,1,1,0,0,0,1,0
0.14285715,0.07333333,0,0,0,0.07333333,0.075060531,0.073989898,0.070342429,2.9113333,4.5,0,11,1,9.050684,0,1,0,0,0,0,0,0,1
0.083333336,0.059999999,1,1,0,0.059999999,0.057166878,0.056421354,0.056961533,5.5811111,6.3,0,12,1,8.4206591,1,1,0,0,0,0,0,0,1
0,0.013333334,0,0,0,0.020408163,0.019076305,0.018506493,0.01793937,8.1444444,9,0,12,1,5.4164662,0,1,0,0,0,0,0,0,1
0,0.30909091,0,0,0,0.090909094,0.027027028,0.047619049,0.050667077,6.4893333,6.8,0,7,1,2.8921075,1,1,0,1,1,1,0,0,0
0,0.31428573,0,0,0,0.31428573,0.3859649,0.3952381,0.38727471,3.8689841,3.8,0,9,1,5.544385,1,0,1,0,0,0,0,1,0
0,0.0066666668,1,0,0,0.0066666668,0.0084068943,0.008008658,0.0068894369,,,0,12,1,8.4206591,1,1,0,0,0,0,0,0,1
0.72000003,0.43333334,0,1,1,0.40000001,0.5869565,0.56666666,0.55901241,6.7105263,,1,6,1,3.6290324,0,0,1,1,1,0,0,0,0
0,0.0086956518,0,0,0,0.050000001,0.02,0.016666668,0.017191613,2.1710526,,0,6,1,2.5742092,0,0,0,0,1,0,0,0,0
0.15384616,0.089622639,0,1,0,0.089622639,0.08576642,0.08293651,0.083090372,5.5811111,6.3,0,11,1,7.1317043,0,1,0,0,0,0,0,0,1
0,0.0050251256,0,0,0,0.011764706,0.002304147,0.001587302,0.002933,4.75,,0,11,1,4.8971596,0,0,0,0,1,0,0,0,0
0,0.14666666,0,1,0,0.21568628,0.25647059,0.25634921,0.24482761,7.2037778,7.4,0,9,1,3.7525017,0,1,0,0,1,0,0,0,0
0,0.0066666668,0,0,0,0.019607844,0.0070588239,0.0051587299,0.0070016412,9.4097222,,0,9,1,3.7525017,0,1,0,0,1,0,0,0,0
0,0.013333334,0,0,0,0.039215688,0.011764706,0.0087301591,0.013281251,8.1444444,9,0,9,1,3.7525017,0,1,0,0,1,0,0,0,0
0,0.02,0,0,0,0.02238806,0.023760332,0.02420635,0.020051289,4.4204445,4.4,0,10,1,5.5391431,0,1,0,0,0,0,0,0,1
0,0.005050505,0,0,0,0.022727273,0.0045454549,0.0059523811,0.0043569449,6.3916667,5.8,0,10,1,5.1506567,0,0,0,0,0,0,0,0,1
0,0.012738854,0,0,0,0.06818182,0.047169812,0.040476192,0.030441599,,,0,9,1,3.0750279,0,1,0,0,1,0,0,0,0
0,0.30769232,0,0,0,0.11764706,0.069767445,0.085714288,0.09619157,6.4893333,6.8,0,7,1,3.0063276,0,1,0,0,1,0,0,0,0
0,0.060109291,0,0,0,0,0,0,0.012728727,4.8805555,,0,5,1,3.7280419,0,1,0,0,0,0,1,0,0
0,0.06666667,0,0,0,0.06666667,0.061553031,0.057142857,0.058761742,4.4204445,4.4,0,10,1,6.7446041,1,1,0,0,0,0,0,0,1
0,0.14666666,0,1,0,0.13432837,0.11260331,0.11031746,0.11476741,7.2037778,7.4,0,10,1,5.5391431,0,1,0,0,0,0,0,0,1
0,0.0094339624,0,0,0,0.0094339624,0.0082116788,0.007539683,0.0088038351,9.7272223,9.8,0,11,1,7.1317043,0,1,0,0,0,0,0,0,1
0,0.33333334,0,0,0,0.10344828,0.04878049,0.071428575,0.074371211,6.4893333,6.8,0,9,1,2.9926152,1,1,0,1,1,0,0,0,0
0,0.10849056,0,1,0,0.10849056,0.10766423,0.10714286,0.10475884,6.8551111,7.6,0,11,1,7.1317043,0,1,0,0,0,0,0,0,1
0,0.13939394,0,0,0,0.14285715,0.15254237,0.15238096,0.14173976,1.4611111,1.2,0,8,1,5.3518772,1,0,0,0,0,0,0,0,1
0,0.22613065,0,0,0,0.21052632,0.28846154,0.26190478,0.25877115,3.4931111,3,0,9,1,5.1308365,0,0,0,0,0,0,0,1,0
0.33333334,0.26633167,0,0,0,0.24242425,0.28909951,0.28968254,0.2948263,7.1597778,7.2,1,10,1,4.9480457,0,0,0,0,0,0,0,1,0
0,0.063492067,0,0,0,0.11111111,0.07692308,0.06666667,0.055707764,,,0,5,1,4.1822972,0,0,0,0,1,0,0,0,0
0,0.02,0,0,0,0.029411765,0.0093896706,0.0099206353,0.011283792,6.315,,0,9,1,4.7448335,0,1,0,0,0,0,0,1,0
0.25806451,0.14944357,0,1,0,0.19759037,0.21238449,0.22143134,0.22099021,3.7722222,3.1,0,14,1,4.0743632,0,1,0,0,1,0,0,0,0
0,0.022857143,0,1,0,0.028571429,0.01754386,0.014285714,0.018171396,5.8095237,6.2,0,9,1,5.544385,1,0,0,0,0,0,0,1,0
0,0.09142857,0,0,0,0.085714288,0.070175439,0.06666667,0.071551062,9.0063492,8.7,0,9,1,5.544385,1,0,0,0,0,0,0,1,0
0.33333334,0.22289157,0,0,0,0.14285715,0.090909094,0.1,0.096791752,3.6788889,3.6,0,7,1,3.4557312,0,1,0,0,1,0,0,0,0
0.2,0.15333334,1,1,0,0.15333334,0.15514994,0.15685426,0.15636802,6.8216666,7.6,0,11,1,7.9113922,1,1,0,0,0,0,0,0,1
0,0.023529412,0,0,0,0.03846154,0.017241379,0.014285714,0.014749477,1,,0,9,1,5.5655723,1,0,0,0,0,0,0,1,0
0.31578946,0.21105528,0,0,0,0.20689656,0.21538462,0.21904762,0.20423529,3.4931111,3,0,9,1,5.830904,0,0,0,0,0,0,0,0,1
0,0.28139904,0,0,0,0.19759037,0.21238449,0.22143134,0.22107492,1.6,1.6,0,14,1,4.0743632,0,1,0,0,1,0,0,0,0
0,0.0066666668,0,0,0,0.0066666668,0.0080710249,0.0077200579,0.0085178213,9.8888893,,0,11,1,9.050684,0,1,0,0,0,0,0,0,1
0,0.0031847134,0,0,0,0.045454547,0.028301887,0.02142857,0.0068175332,5.4000001,,0,9,1,3.0750279,0,1,0,0,1,0,0,0,0
0,0.2647059,0,0,0,0.26923078,0.27586207,0.29523811,0.28718701,3.8689841,3.8,0,9,1,5.5655723,1,0,0,0,0,0,0,1,0
0,0.016666668,0,0,0,0.033333335,0.009708738,0.0095238099,0.010964618,,,0,7,0,3.7735848,0,0,0,0,1,0,0,0,0
0,0.054545455,0,0,0,0.057142857,0.03125,0.026190476,0.027571648,1.4611111,1.2,0,8,1,4.3608842,1,0,0,0,1,0,0,0,0
0,0.0095693776,0,0,0,0.011173184,0.010383413,0.0087468093,0.008365063,2.9824561,,0,17,1,5.0764861,0,1,0,0,0,0,0,1,0
0,0.083061889,0,1,0,0.14285715,0.14285715,0.13333334,0.13331333,2.8744444,2.8,0,6,1,4.0520649,0,1,0,0,0,0,0,1,0
0,0.028571429,0,,,0.028753994,0.031579666,0.026876507,0.026923299,5,,0,21,1,7.6707511,0,1,0,0,0,0,0,0,1
0,0.11323764,0,1,0,0.13221602,0.1209382,0.12305472,0.12389226,7.9855557,,0,17,1,5.0764861,0,1,0,0,0,0,0,1,0
0,0.059999999,0,0,0,0.060606062,0.055084746,0.060714286,0.058126133,1.2425,0.6,0,10,0,5.7929969,0,1,0,0,0,0,0,0,1
0,0.34554139,0,1,1,0.18181819,0.16037735,0.17380953,0.16991766,2.95,,0,9,1,3.0750279,0,1,0,0,1,0,0,0,0
0,0.22328548,0,1,1,0.17690875,0.12866695,0.16700521,0.1675715,6.9677778,,0,17,1,5.0764861,0,1,1,1,0,0,0,1,0
0,0.0095238099,0,0,0,0.0095846644,0.01050221,0.0086727133,0.0086791357,,,0,21,1,7.6707511,0,1,0,0,0,0,0,0,1
0,0.035175879,0,0,0,0.06666667,0.037037037,0.03809524,0.029154345,7.2257778,6.8,0,9,1,4.9297509,0,0,0,0,0,0,0,1,0
0,0.0060606059,0,0,0,0.034482758,0.012195122,0.011904762,0.012892123,1.3333334,,0,9,1,2.9926152,1,1,0,0,1,0,0,0,0
0.52941179,0.36666667,0,1,1,0.30000001,0.33980581,0.3595238,0.36630407,6.7105263,,1,7,0,3.7735848,0,0,1,1,1,0,0,0,0
0,0.050251257,0,0,0,0.04255319,0.031390134,0.03015873,0.034605429,3.7008333,,0,10,1,5.2452135,0,0,0,0,0,0,0,1,0
0.28,0.23333333,0,0,0,0.2,0.16666667,0.16666667,0.1669783,3.9473684,,0,5,1,3.8054969,0,0,0,0,1,0,0,0,0
0.14285715,0.12666667,0,1,0,0.12666667,0.12832929,0.12914863,0.12824565,3.1588889,2.5,0,11,1,9.050684,0,1,0,0,0,0,0,0,1
0.15789473,0.012121212,0,0,0,0.047619049,0.016949153,0.01904762,0.01016815,4.7,4,0,8,1,5.3518772,1,0,0,0,0,0,0,0,1
0,0.027914613,0,0,0,0.033232629,0.027478447,0.022655124,0.020447314,2.6337037,,0,12,1,5.3029213,0,1,0,0,0,0,0,1,0
0.33333334,0.12571429,0,1,0,0.11428571,0.10526316,0.095238097,0.10826144,7.2685714,6.7,0,9,1,5.544385,1,0,0,0,0,0,0,1,0
0,0.083333336,0,0,0,0.11111111,0.07692308,0.06666667,0.057147618,1.5789474,,0,6,0,4.3373494,0,0,0,0,1,0,0,0,0
0,0.055643879,0,0,0,0.084337346,0.065094471,0.0504773,0.049997438,9.1777778,9.1,0,14,1,4.0743632,0,1,0,0,1,0,0,0,0
0,0.039999999,0,0,0,0.078431375,0.044705883,0.038492061,0.039470773,2.0366666,,0,9,1,3.7525017,0,1,0,0,1,0,0,0,0
0.10526316,0.070351757,0,0,0,0.10344828,0.10769231,0.10476191,0.098389685,2.3719444,,0,9,1,5.830904,0,0,0,0,0,0,0,0,1
0.35714287,0.24666667,0,1,0,0.24489796,0.27459839,0.27370131,0.27333561,3.5371111,2.6,1,12,1,5.4164662,0,1,0,0,0,0,0,0,1
0,0.057324842,0,0,0,0.11363637,0.10377359,0.08809524,0.10286126,6.1666667,,0,9,1,3.0750279,0,1,0,0,1,0,0,0,0
0,0.053333335,1,0,0,0.053333335,0.051716644,0.0512987,0.05076012,2.9113333,4.5,0,11,1,7.9113922,1,1,0,0,0,0,0,0,1
0,0.074285716,0,0,0,0.09589041,0.083700441,0.080158733,0.076280028,2.1851429,1.9,0,11,1,4.9195457,1,0,0,0,0,0,0,1,0
0,0.04292528,0,1,0,0.04292528,0.035375986,0.03430042,0.033543408,4.9703704,4.8,0,16,1,5.7116132,0,1,0,0,0,0,0,0,1
0,0.095238097,0,0,0,0.095238097,0.1,0.1,0.090608798,2.2222222,,0,7,1,5.3418574,0,0,0,0,0,0,0,0,1
0.75,0.35632184,0,0,0,0.32432431,0.39545456,0.42023811,0.41784239,3.8689841,3.8,1,10,1,4.7334909,1,0,1,1,1,0,0,0,0
0.19047619,0.065088756,0,1,0,0.090909094,0.07692308,0.06666667,0.058101572,1.4611111,1.2,0,7,1,4.0667806,0,0,0,0,1,0,0,0,0
0,0.013333334,0,0,0,0.014925373,0.015495868,0.016666668,0.013233002,8.4472222,9.2,0,10,1,5.5391431,0,1,0,0,0,0,0,0,1
0,0.0066666668,0,0,0,0.011111111,0.0088495584,0.0083333328,0.0083762659,6.4292222,6.8,0,10,1,7.0268583,0,1,0,0,0,0,0,0,1
0,0.0060606059,0,0,0,0,0,0,0.0054033878,4.7,4,0,8,1,4.0411162,1,0,0,0,1,0,0,0,0
0,0.033333335,0,0,0,0.046296295,0.025171624,0.023412699,0.023134513,1.2425,0.6,0,9,1,4.8138638,0,1,0,0,0,0,0,1,0
0,0.33536586,0,0,0,0.14285715,0.090909094,0.1,0.097138979,6.4893333,6.8,0,8,1,2.9687567,1,1,0,0,1,0,0,0,0
0.13333334,0.055276383,0,1,0,0.05882353,0.039170507,0.03015873,0.034533571,6.3257778,6.1,0,11,1,4.8971596,0,0,0,0,1,0,0,0,0
0,0.033333335,0,1,0,0.033333335,0.029356061,0.026984127,0.0281948,6.315,,0,10,1,6.7446041,1,1,0,0,0,0,0,0,1
0,0.22922637,0,1,1,0.090909094,0.027027028,0.047619049,0.056565773,7.7642222,7.7,0,7,1,3.5041573,1,0,0,1,1,1,0,0,0
0,0.025125628,0,0,0,0.030303031,0.014218009,0.015873017,0.017069563,7.2257778,6.8,0,10,1,4.9480457,0,0,0,0,0,0,0,1,0
0,0.0086956518,0,0,0,0.1,0.027777778,0.033333331,0.022551078,1.95,,0,6,1,2.6131198,1,0,0,0,1,1,0,0,0
0,0.12034384,0,0,0,0.13333334,0.12727273,0.11904762,0.12720537,7.0141667,,0,7,1,4.293757,1,0,0,0,0,0,0,1,0
0.11538462,0.075471699,0,0,0,0.075471699,0.075729929,0.072619051,0.071916133,6.4292222,6.8,0,11,1,7.1317043,0,1,0,0,0,0,0,0,1
0,0.068571426,0,0,0,0.085714288,0.06122449,0.057142857,0.055164006,9.0063492,8.7,0,9,1,4.5558085,1,0,0,0,1,0,0,0,0
0,0.13529412,0,0,0,0.11538462,0.12068965,0.10952381,0.12166498,2.1851429,1.9,0,9,1,5.5655723,1,0,0,0,0,0,0,1,0
0,0.043478262,0,0,0,0.15000001,0.14,0.13333334,0.1183365,2.9222222,,0,6,1,2.5742092,0,0,0,0,1,0,0,0,0
0,0.22485207,0,0,0,0.2,0.16363636,0.18571429,0.17835836,9.2444444,9.4,0,7,1,4.5617313,0,0,0,0,0,0,0,1,0
0,0.087947883,0,0,0,0.14285715,0.14285715,0.13333334,0.13331333,1.1830556,,0,6,1,4.0520649,0,1,0,0,0,0,0,1,0
0,0.0060606059,0,0,0,0.028571429,0.010416667,0.0071428572,0.0033495461,,,0,8,1,4.3608842,1,0,0,0,1,0,0,0,0
0.2857143,0.16,0,0,0,0.1122449,0.071285143,0.080952384,0.087824062,4.4204445,4.4,0,12,1,5.4164662,0,1,0,0,0,0,0,0,1
0.47058824,0.27638191,0,0,0,0.27659574,0.31838566,0.33492064,0.32634804,5.8053333,5.2,1,10,1,5.2452135,0,0,0,0,0,0,0,1,0
0,0.051575933,0,0,0,0.090909094,0.027027028,0.047619049,0.048699893,3.3733334,,0,7,1,3.5041573,1,0,0,0,1,1,0,0,0
0,0.38181818,0,1,1,0.36363637,0.46153846,0.46666667,0.470961,3.2388889,3,0,7,1,4.2347178,1,0,1,1,1,0,0,0,0
0.27272728,0.15873016,0,1,0,0.14285715,0.13333334,0.13333334,0.14689317,4.4444444,,0,7,1,5.3418574,0,0,0,0,0,0,0,0,1
0.2631579,0.084848486,0,0,0,0.090909094,0.07692308,0.06666667,0.065134913,6.1333333,6.1,0,7,1,4.2347178,1,0,0,0,1,0,0,0,0
0,0.013333334,0,0,0,0.013333334,0.0085227266,0.007539683,0.01156182,,,0,10,1,6.7446041,1,1,0,0,0,0,0,0,1
0.125,0.048192769,0,1,0,0.090909094,0.027027028,0.047619049,0.03872446,7.9902778,,0,8,1,3.3368855,0,1,0,0,1,0,0,0,0
